Release Date,Title,Overview,Genre,Vote Average,Vote Count
25-06-1982,The Thing,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.","['Horror', 'Mystery', 'Science Fiction']",8,5406
17-04-1941,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","['Mystery', 'Drama']",8,4459
14-11-1980,Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","['Drama', 'History']",8,3398
19-09-1984,Amadeus,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.","['History', 'Music', 'Drama']",8,3394
27-01-1995,Before Sunrise,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.","['Drama', 'Romance']",8,3209
18-12-1965,For a Few Dollars More,"Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang.",['Western'],8,3119
15-03-2006,The Lives of Others,A tragic love story set in East Berlin with the backdrop of an undercover Stasi controlled culture. Stasi captain Wieler is ordered to follow author Dreyman and plunges deeper and deeper into his life until he reaches the threshold of doubting the system.,"['Drama', 'Thriller']",8,2944
11-12-1962,Lawrence of Arabia,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.","['War', 'History', 'Adventure', 'Drama']",8,2337
11-03-1948,Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"['Crime', 'Drama', 'Thriller']",8,2084
22-04-2021,The Mitchells vs. the Machines,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","['Animation', 'Adventure', 'Comedy']",8,2033
20-06-1963,The Great Escape,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.","['Adventure', 'Drama', 'History', 'Thriller', 'War']",8,2008
09-06-2015,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.","['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",7.9,18000
25-05-1983,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.","['Adventure', 'Action', 'Science Fiction']",7.9,12975
25-06-2004,The Notebook,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.","['Romance', 'Drama']",7.9,9643
18-07-1986,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.","['Action', 'Thriller', 'Science Fiction']",7.9,7768
15-09-2021,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.","['Science Fiction', 'Adventure']",7.9,7307
17-06-2021,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.9,6465
18-01-1964,A Fistful of Dollars,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",['Western'],7.9,3318
15-12-1974,Young Frankenstein,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",['Comedy'],7.9,2592
01-01-2016,Sherlock: The Abominable Bride,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this holiday special.,"['Crime', 'Drama', 'Mystery', 'TV Movie']",7.9,2016
09-07-2003,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.","['Adventure', 'Fantasy', 'Action']",7.8,17681
16-06-2010,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","['Animation', 'Family', 'Comedy']",7.8,12637
11-09-2007,Into the Wild,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.","['Adventure', 'Drama']",7.8,8333
24-03-2021,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.","['Action', 'Fantasy', 'Science Fiction']",7.8,8051
09-10-1993,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.","['Fantasy', 'Animation', 'Family']",7.8,7569
01-09-2000,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","['Crime', 'Comedy']",7.8,7422
10-09-2005,Brokeback Mountain,"Two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflict","['Drama', 'Romance']",7.8,5802
11-12-1988,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,['Drama'],7.8,5175
25-05-1975,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","['Adventure', 'Comedy', 'Fantasy']",7.8,4719
24-07-2020,The Kissing Booth 2,"With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.","['Comedy', 'Romance']",7.8,4527
19-04-1977,Annie Hall,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,"['Comedy', 'Drama', 'Romance']",7.8,3223
22-03-2018,Midnight Sun,"Katie, a 17-year-old, has been sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.","['Romance', 'Drama']",7.8,3004
10-02-2004,Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.","['Drama', 'Romance']",7.8,2672
10-11-1993,Carlito's Way,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.","['Crime', 'Thriller', 'Drama']",7.8,2534
03-12-2010,Three Steps Above Heaven,"Story of two young people who belong to different worlds. It is the chronicle of a love improbable, almost impossible but inevitable dragging in a frantic journey they discover the first great love. Babi is a girl from upper-middle class that is educated in goodness and innocence . Hache is a rebellious boy, impulsive, unconscious, has a appetite for risk and danger embodied in endless fights and illegal motorbike races, the limit of common sense","['Romance', 'Drama']",7.8,2503
25-09-2020,The Trial of the Chicago 7,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,"['Drama', 'History']",7.8,2399
25-04-1979,Manhattan,Manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,"['Comedy', 'Drama', 'Romance']",7.8,1931
28-06-2007,Harry Potter and the Order of the Phoenix,"A summer has passed since Harry's encounter with the Dark Lord, andHarry returns to learn that the wizarding community remains in denialabout Voldemort's return; the minister of magic believes that HeadmasterDumbledore is lying; and a new Defense Against the Dark Arts teacher hasbeen assigned. Now, with the entire wizard community in peril, thefuture of magic may depend on Harry Potter and the Order of the Phoenix.When the new professor, Dolores Umbridge's (Imelda Staunton--NannyMcPhee, Vera Drake), Ministry-approved course of defensive magic leavesthe young wizards woefully unprepared to protect themselves against thedark forces threatening them and the entire wizarding community,Hermione (Emma Watson) and Ron (Rupert Grint) urge Harry (DanielRadcliffe) to act. Meeting secretly with a small group of students whoname themselves ""Dumbledore's Army,"" Harry teaches them how to defendthemselves against the Dark Arts.​","['Adventure', 'Fantasy', 'Mystery']",7.7,16524
11-02-2016,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.","['Animation', 'Adventure', 'Family', 'Comedy']",7.7,14085
12-11-2008,Slumdog Millionaire,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.","['Drama', 'Romance']",7.7,9095
22-10-1991,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.","['Romance', 'Family', 'Animation', 'Fantasy']",7.7,8499
16-08-2018,To All the Boys I've Loved Before,Lara Jean's love life goes from imaginary to out of control when her secret letters to every boy she's ever fallen for are mysteriously mailed out.,"['Comedy', 'Romance']",7.7,7618
24-11-2021,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.","['Animation', 'Comedy', 'Family', 'Fantasy']",7.7,6942
01-09-2021,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",7.7,6810
11-08-2021,Free Guy,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,"['Comedy', 'Adventure', 'Science Fiction']",7.7,5969
20-11-2009,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",['Drama'],7.7,5177
22-04-2021,Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.","['Action', 'Crime', 'Thriller']",7.7,3757
25-01-2002,A Walk to Remember,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.","['Drama', 'Romance']",7.7,3530
07-09-2007,Atonement,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.","['Drama', 'Romance']",7.7,3411
10-12-1999,Magnolia,"An epic mosaic of many interrelated characters in search of happiness, forgiveness, and meaning in the San Fernando Valley.",['Drama'],7.7,2829
23-12-1992,Scent of a Woman,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",['Drama'],7.7,2569
06-12-2005,Memoirs of a Geisha,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.","['Drama', 'Romance', 'History']",7.7,2433
28-02-2020,All the Bright Places,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,"['Romance', 'Drama']",7.7,2428
17-03-2004,The Chorus,"Set in 1940s France, a new teacher at a school for disruptive boys gives hope and inspiration.",['Drama'],7.7,2000
25-11-1992,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.","['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']",7.6,9740
29-12-1995,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","['Science Fiction', 'Thriller', 'Mystery']",7.6,6942
28-07-2021,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","['Action', 'Adventure', 'Fantasy', 'Comedy']",7.6,6366
12-09-1997,The Game,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.","['Drama', 'Thriller', 'Mystery']",7.6,5174
12-06-2009,Moon,"With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.","['Science Fiction', 'Drama']",7.6,4763
15-08-1939,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","['Adventure', 'Fantasy', 'Family']",7.6,4565
25-05-2021,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.","['Horror', 'Mystery', 'Thriller']",7.6,4523
24-05-2001,Moulin Rouge!,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.","['Drama', 'Romance', 'Music']",7.6,3861
28-09-2000,Billy Elliot,"Set against the background of the 1984 Miners' Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.","['Drama', 'Comedy', 'Music']",7.6,3246
24-03-1999,"Girl, Interrupted","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",['Drama'],7.6,2999
11-11-2021,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","['Fantasy', 'Comedy', 'Adventure']",7.6,2963
09-04-2015,The Longest Ride,The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.,"['Drama', 'Romance']",7.6,2769
07-02-1968,Planet of the Apes,"Astronaut Taylor crash lands on a distant planet ruled by apes who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist.","['Science Fiction', 'Adventure', 'Drama', 'Action']",7.6,2691
09-09-1993,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.","['Action', 'Crime', 'Romance']",7.6,2157
28-06-2017,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","['Action', 'Crime']",7.5,13344
09-04-2004,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.","['Horror', 'Comedy']",7.5,6983
30-03-1999,10 Things I Hate About You,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.","['Comedy', 'Romance', 'Drama']",7.5,6549
14-02-2007,Hot Fuzz,"As a former London constable, Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.","['Crime', 'Action', 'Comedy']",7.5,6237
20-06-1997,Hercules,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!","['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Romance']",7.5,6224
22-01-2004,The Butterfly Effect,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.","['Science Fiction', 'Thriller']",7.5,6173
